x,y,z,delta_z,vx,vy,vz,delta_vz,ax,ay,az,heading,delta_heading,dist_bottom,eph,epv,evh,evv,z_reset_counter,vz_reset_counter,heading_reset_counter,dist_bottom_valid
0.040116133156000766,0.3901164523230106,0.8518218813229789,0.0,0.8016775255227019,0.6233015570174305,0.06768157782465789,9.71445146547012e-17,0.4148547674323584,0.3926881359914028,0.3951286221407855,0.7626995290089607,0.924333057004751,0.14643386680857112,0.22964622518368039,0.36464337356822085,0.4243548773558725,0.692450374423708,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
0.057918875858852636,0.39780460411526264,0.8440703824945516,0.0,0.8168298646608025,0.6359752612685609,0.07973028292846873,9.71445146547012e-17,0.44059633934055614,0.3183696815491991,0.4726215545692334,0.4862606048465432,0.4593356770173826,0.15420123935376645,0.29110437330682437,0.39235558952689686,0.42750213335693577,0.7106364757217953,0.0,2.220446049250313e-16,0.5406643229826322,0.9289755826322236
0.07340838291434743,0.40627073681491543,0.8376742363458465,0.0,0.8305894516267112,0.6449162294078659,0.09119585720334977,9.71445146547012e-17,0.5908795823200486,0.24269834563684173,0.47190518564387146,0.2885644601534878,0.07251619711520951,0.16061048147676316,0.33471823571868065,0.41983067182387757,0.39818143480111345,0.7256547243402629,0.0,4.440892098500626e-16,0.9274838028847876,0.9220282241856961
0.08527551186946175,0.4112782690695841,0.8319908254569356,0.0,0.8475838908370363,0.6401040506686699,0.0972065220739261,9.71445146547012e-17,0.6988013161109461,0.25977340463921794,0.4042958280211152,0.3341185515098344,0.0,0.16630552503210166,0.3104805461051683,0.41362751064963277,0.2963970896894432,0.7292858133716171,0.0,4.440892098500626e-16,1.0000000000000009,0.9003269949142434
0.09597530555776562,0.41673322874174645,0.8264397336124263,0.0,0.8673851264039902,0.6263495972823827,0.09747755420443682,9.71445146547012e-17,0.7447586022272129,0.3537084144474902,0.3170924099920782,0.51085967051828,0.07251619711520951,0.17186797876670537,0.37471898578732876,0.43820414387125695,0.23502226384790603,0.7462425096003704,0.0,4.440892098500626e-16,0.9274838028847876,0.9220282241856961
0.10864603958027375,0.4268098934321779,0.8204810250469814,0.0,0.8901217670366064,0.6104474803436893,0.09307059558768382,9.71445146547012e-17,0.7386831349624078,0.4681589831231254,0.2562582467285657,0.6786398053892402,0.09102870748996283,0.1778388878199989,0.6470172740288458,0.5466290970590961,0.30671945650602606,0.7957157141135491,0.0,6.661338147750939e-16,0.9089712925100457,1.0
0.12351278015485756,0.4384840497578214,0.8148085666320624,0.0,0.9177115864760566,0.5971413609090938,0.08750285135810537,9.71445146547012e-17,0.7080481405293696,0.4671096415035023,0.2309479056799284,0.7938265172681591,0.07251619711522422,0.18352296252467645,0.8918101625061343,0.6509222716762437,0.38538685510912973,0.840555956285673,0.0,4.440892098500626e-16,0.9274838028847876,0.9220282241856963
0.14503136616338852,0.4521481535862303,0.8083721563406138,0.0,0.9581655780068903,0.5869259281723874,0.08238863388480766,0.0,0.6690517055663913,0.26430110134512075,0.23486795918467573,0.8753784920006966,0.06715846418912519,0.18997255287792944,0.9278207801971838,0.6784872796603096,0.3521662517295292,0.8539102402480925,0.0,2.220446049250313e-16,0.9328415358108746,0.47478641068261707
0.16555957161179002,0.46617475137476905,0.8026743332170901,0.0,0.9838534306708815,0.5859469270081282,0.07893947135423052,9.71445146547012e-17,0.6376994897691324,0.1962633707389817,0.25596032033716903,0.9223455185498892,0.07251619711522422,0.19568204283069282,0.8626052141303102,0.6322378412308609,0.2758621482676329,0.8495807047761517,0.0,4.440892098500626e-16,0.9274838028847867,0.080353179867607
0.18784710253447612,0.48541845226408176,0.7961600374125923,0.0,0.9857318801036381,0.5960693543968187,0.07552079730810601,9.71445146547012e-17,0.6116616593234804,0.5183583387957258,0.28241270340034624,0.9698105470495673,0.07387986416610998,0.2022096771221281,0.8627900268280673,0.5528044735473863,0.23520866228427728,0.8544727332006072,0.0,4.440892098500626e-16,0.9261201358338953,0.0024458222907004223
0.20830112646727372,0.5006837056089296,0.7906803486263118,0.0,0.9827231979383977,0.6106647005333193,0.07288512741156494,9.71445146547012e-17,0.6083560766024357,0.8507208352868131,0.2960496637208514,0.9968592919686197,0.07251619711520951,0.20770058712937542,0.8894168481766549,0.5209911714469087,0.2207052420046276,0.8635114280963432,0.0,4.440892098500626e-16,0.9274838028847876,0.080353179867607
0.2386076660627099,0.5146388269022346,0.7838564237657926,0.0,0.9939936306388044,0.6317411915065329,0.06979285559671711,9.71445146547012e-17,0.6383196316550634,0.9497639321092364,0.2933275759387269,1.0,0.07210345299145549,0.2145384889878083,0.8830545035620911,0.5739763186806641,0.18959171192049062,0.872084585171331,0.0,6.661338147750939e-16,0.9278965470085465,0.10393357217547053
0.2645654363659942,0.5263355812986175,0.777695385930568,0.0,1.0,0.6490140743337052,0.067045371032874,9.71445146547012e-17,0.6808804977833056,0.7209739316747987,0.2819433121701026,0.980763444646878,0.07251619711520951,0.22071214871204656,0.8545225590727021,0.6352822802951117,0.15837451703210625,0.8768557459936117,0.0,6.661338147750939e-16,0.9274838028847876,0.08035317986760701
0.2836610525672337,0.5399257943192338,0.7717723209285767,0.0,0.9883297828861479,0.6611570082386448,0.06444272603698442,0.0,0.7179320705919015,0.34726005392150816,0.274829051213604,0.9536563621906193,0.07261092621387005,0.22664734887576854,0.8320229818821367,0.6410450833312247,0.13907450072797545,0.8802187234499064,0.0,4.440892098500626e-16,0.9273890737861379,0.07494123289962383
0.2998063597418266,0.5523035571537699,0.7658861180882784,0.0,0.9788211135167744,0.669136238352987,0.06239670289150767,0.0,0.7477330056326181,0.12907753507734865,0.27917276549674097,0.9238755228855213,0.07251619711520951,0.23254560800760646,0.8199172046365781,0.6171094545883378,0.1329211873151479,0.8838752467435809,0.0,4.440892098500626e-16,0.9274838028847876,0.08035317986760701
